Name,BSE Code,NSE Code,Market Capitalization
Reliance Industries,500325,RELIANCE,1748674.22
HDFC Bank,500180,HDFCBANK,1276539.02
Bharti Airtel,532454,BHARTIARTL,1167198.11
ICICI Bank,532174,ICICIBANK,1016286.12
SBI,500112,SBIN,953938.19
TCS,532540,TCS,757627.61
Bajaj Finance,500034,BAJFINANCE,641024.28
Life Insurance,543526,LICI,555398.05
Larsen & Toubro,500510,LT,546659.75
Hind. Unilever,500696,HINDUNILVR,510989.13
Sun Pharma.Inds.,524715,SUNPHARMA,459292.71
Maruti Suzuki,532500,MARUTI,449910.08
Infosys,500209,INFY,433755.19
Adani Power,533096,ADANIPOWER,425709.6
Adani Ports,532921,ADANIPORTS,424654.16
Axis Bank,532215,AXISBANK,414355.63
Titan Company,500114,TITAN,407928.87
Adani Enterp.,512599,ADANIENT,404711.56
M & M,500520,M&M,394198.7
Kotak Mah. Bank,500247,KOTAKBANK,376532.65
ITC,500875,ITC,353581.59
UltraTech Cem.,532538,ULTRACEMCO,340796.47
NTPC,532555,NTPC,340352.98
HCL Technologies,532281,HCLTECH,316182.73
O N G C,500312,ONGC,306329.74
Bharat Electron,500049,BEL,303465.45
JSW Steel,500228,JSWSTEEL,303407.45
Bajaj Finserv,532978,BAJAJFINSV,301383.55
Hind.Aeronautics,541154,HAL,294979.98
Bajaj Auto,532977,BAJAJ-AUTO,284053.6
Nestle India,500790,NESTLEIND,282652.33
Eternal,543320,ETERNAL,280004.94
Coal India,533278,COALINDIA,265551.95
Avenue Super.,540376,DMART,263507.39
Power Grid Corpn,532898,POWERGRID,262835.1
Asian Paints,500820,ASIANPAINT,258249.61
Adani Green,541450,ADANIGREEN,252643.9
Shriram Finance,511218,SHRIRAMFIN,245797.22
Tata Steel,500470,TATASTEEL,236188.37
Hindustan Zinc,500188,HINDZINC,228568.61
Hindalco Inds.,500440,HINDALCO,218745.01
Grasim Inds,500300,GRASIM,216399.44
Interglobe Aviat,539448,INDIGO,204839.53
Eicher Motors,505200,EICHERMOT,204227.49
Adani Energy Sol,539254,ADANIENSOL,201965.65
I O C L,530965,IOC,196991.26
SBI Life Insuran,540719,SBILIFE,184099.66
Divi's Lab.,532488,DIVISLAB,182009.27
Vedanta Aluminium Metal,544780,VAML,176749.54
TVS Motor Co.,532343,TVSMOTOR,176687.27
Wipro,507685,WIPRO,172618.85
Torrent Pharma.,500420,TORNTPHARM,166916.23
Solar Industries,532725,SOLARINDS,164568.37
DLF,532868,DLF,164410.18
Pidilite Inds.,500331,PIDILITIND,162966.21
Varun Beverages,540180,VBL,162020.05
ICICI AMC,544658,ICICIAMC,160085.4
Hyundai Motor I,544274,HYUNDAI,159566.8
Cholaman.Inv.&Fn,511243,CHOLAFIN,156995.29
Jio Financial,543940,JIOFIN,156857.63
Trent,500251,TRENT,155703.8
Tata Motors,544569,TMCV,155081.35
Vodafone Idea,532822,IDEA,153197.07
Samvardh. Mothe.,517334,MOTHERSON,152195.03
Cummins India,500480,CUMMINSIND,152044.19
BSE,,BSE,150993.92
Tata Capital,544574,TATACAP,148379.41
A B B,500002,ABB,145074.64
CG Power & Ind,500093,CGPOWER,142866.42
Hitachi Energy,543187,POWERINDIA,142720.66
Tech Mahindra,532755,TECHM,141804.63
Polycab India,542652,POLYCAB,141137.48
Power Fin.Corpn.,532810,PFC,136376.71
B P C L,500547,BPCL,132302.74
B H E L,500103,BHEL,130925.56
Britannia Inds.,500825,BRITANNIA,130419.32
Apollo Hospitals,508869,APOLLOHOSP,127249.42
Muthoot Finance,533398,MUTHOOTFIN,126546.85
Bank of Baroda,532134,BANKBARODA,126232.96
Tata Motors PVeh,500570,TMPV,124489.72
Siemens,500550,SIEMENS,123949.52
HDFC Life Insur.,540777,HDFCLIFE,123798.5
Bosch,500530,BOSCHLTD,122939.76
Billionbrains,544603,GROWW,122084.18
Siemens Ener.Ind,544390,ENRIN,121216.31
GMR Airports,532754,GMRAIRPORT,121111.44
Union Bank (I),532477,UNIONBANK,120992.69
Tata Power Co.,500400,TATAPOWER,119921.16
HDFC AMC,541729,HDFCAMC,118857
Bajaj Holdings,500490,BAJAJHLDNG,118457.06
Cipla,500087,CIPLA,118224.11
Punjab Natl.Bank,532461,PNB,117917.61
Zydus Lifesci.,532321,ZYDUSLIFE,116782.76
I R F C,543257,IRFC,116440.41
Lupin,500257,LUPIN,115067.15
LTM,540005,LTM,114199.23
GE Vernova T&D,522275,GVT&D,114129.16
Dr Reddy's Labs,500124,DRREDDY,113929.07
Lodha Developers,543287,LODHA,113891.75
GAIL (India),532155,GAIL,113847.84
Canara Bank,532483,CANBK,112294.62
Godrej Consumer,532424,GODREJCP,111022.1
Tata Consumer,500800,TATACONSUM,109752.4
Marico,531642,MARICO,109733.16
Aditya Birla Cap,540691,ABCAPITAL,109682.67
Max Healthcare,543220,MAXHEALTH,108735.69
Vedanta,500295,VEDL,108630.57
Ambuja Cements,500425,AMBUJACEM,107841.11
Indian Bank,532814,INDIANB,106544.82
Jindal Steel,532286,JINDALSTEL,106395.21
LG Electronics,544576,LGEINDIA,106292.4
Indian Hotels Co,500850,INDHOTEL,105163.14
Mankind Pharma,543904,MANKIND,104075.01
United Spirits,532432,UNITDSPR,102847.44
Indus Towers,534816,INDUSTOWER,102650.91
Bharat Forge,500493,BHARATFORG,101904.59
